id;uuid;total_cases_number;country;date;year;month
1;2bc8c544-4e4b-4993-9e46-7645a2aa64b2;61759;EGYPT;2020-01-20;2020;1
2;d208f1db-6c96-4ffe-a1ce-8018d5a926e3;95363;EGYPT;2020-02-21;2020;2
3;7f035353-326f-404c-b468-836d5e55ce8e;89477;ALGERIA;2021-01-20;2021;1
4;a8bb22b6-f49a-4ad4-a56f-f3e40d247b98;59525;TUNISIA;2021-02-21;2021;2
5;96863f64-0c9b-4961-ae3b-aa3e11bbc120;90285;EGYPT;2022-01-20;2022;1
6;45081026-950e-41dc-b188-e28108a4de83;97792;ALGERIA;2022-02-19;2022;2
7;ac17e217-bb24-4526-89a2-0add54e755a0;52991;TUNISIA;2022-03-19;2022;3
8;71572496-467d-44e1-a41a-0198731e8fb1;45231;EGYPT;2022-04-19;2022;4
9;b38668e4-ec46-4a4e-a30c-bf4c95681832;85299;ALGERIA;2022-05-20;2022;5
10;168aaa80-5a46-4409-bc43-9ee01fd1f156;94572;EGYPT;2022-06-20;2022;6
